
=== Training Session Started for FP16_Baseline at 2026-06-08 16:52:14 ===
[W1A1_Native] [Epoch 011/100] Loss: 0.09471 | Time/Epoch: 10.9s | ETA: 16 mins
[W1A1_Native] [Epoch 012/100] Loss: 0.09190 | Time/Epoch: 10.9s | ETA: 16 mins
[W1A1_Native] [Epoch 013/100] Loss: 0.09016 | Time/Epoch: 10.9s | ETA: 15 mins
[W1A1_Native] [Epoch 014/100] Loss: 0.08865 | Time/Epoch: 10.8s | ETA: 15 mins
[W1A1_Native] [Epoch 015/100] Loss: 0.08708 | Time/Epoch: 10.9s | ETA: 15 mins
[W1A1_Native] [Epoch 016/100] Loss: 0.08993 | Time/Epoch: 10.9s | ETA: 15 mins
[W1A1_Native] [Epoch 017/100] Loss: 0.08612 | Time/Epoch: 22.7s | ETA: 18 mins
[W1A1_Native] [Epoch 018/100] Loss: 0.08685 | Time/Epoch: 14.5s | ETA: 19 mins
[W1A1_Native] [Epoch 019/100] Loss: 0.08943 | Time/Epoch: 12.1s | ETA: 19 mins
[W1A1_Native] [Epoch 020/100] Loss: 0.08707 | Time/Epoch: 12.2s | ETA: 19 mins
[W1A1_Native] [Epoch 021/100] Loss: 0.08738 | Time/Epoch: 12.2s | ETA: 19 mins
[W1A1_Native] [Epoch 022/100] Loss: 0.08306 | Time/Epoch: 11.9s | ETA: 16 mins
[W1A1_Native] [Epoch 023/100] Loss: 0.08147 | Time/Epoch: 11.7s | ETA: 15 mins
[W1A1_Native] [Epoch 024/100] Loss: 0.08288 | Time/Epoch: 11.7s | ETA: 15 mins
[W1A1_Native] [Epoch 025/100] Loss: 0.08505 | Time/Epoch: 11.7s | ETA: 14 mins
[W1A1_Native] [Epoch 026/100] Loss: 0.08244 | Time/Epoch: 11.7s | ETA: 14 mins
[W1A1_Native] [Epoch 027/100] Loss: 0.08420 | Time/Epoch: 11.8s | ETA: 14 mins
[W1A1_Native] [Epoch 028/100] Loss: 0.08500 | Time/Epoch: 11.9s | ETA: 14 mins
[W1A1_Native] [Epoch 029/100] Loss: 0.08282 | Time/Epoch: 11.7s | ETA: 13 mins
[W1A1_Native] [Epoch 030/100] Loss: 0.08091 | Time/Epoch: 11.7s | ETA: 13 mins
[W1A1_Native] [Epoch 031/100] Loss: 0.08223 | Time/Epoch: 11.7s | ETA: 13 mins
[W1A1_Native] [Epoch 032/100] Loss: 0.07895 | Time/Epoch: 11.8s | ETA: 13 mins
[W1A1_Native] [Epoch 033/100] Loss: 0.08153 | Time/Epoch: 11.8s | ETA: 13 mins
[W1A1_Native] [Epoch 034/100] Loss: 0.08072 | Time/Epoch: 11.8s | ETA: 12 mins
[W1A1_Native] [Epoch 035/100] Loss: 0.08378 | Time/Epoch: 11.8s | ETA: 12 mins
[W1A1_Native] [Epoch 036/100] Loss: 0.08140 | Time/Epoch: 11.8s | ETA: 12 mins
[W1A1_Native] [Epoch 037/100] Loss: 0.08401 | Time/Epoch: 11.8s | ETA: 12 mins
[W1A1_Native] [Epoch 038/100] Loss: 0.07902 | Time/Epoch: 11.8s | ETA: 12 mins
[W1A1_Native] [Epoch 039/100] Loss: 0.07868 | Time/Epoch: 11.8s | ETA: 12 mins
[W1A1_Native] [Epoch 040/100] Loss: 0.07767 | Time/Epoch: 11.8s | ETA: 11 mins
[W1A1_Native] [Epoch 041/100] Loss: 0.07664 | Time/Epoch: 11.8s | ETA: 11 mins
[W1A1_Native] [Epoch 042/100] Loss: 0.08116 | Time/Epoch: 11.7s | ETA: 11 mins
[W1A1_Native] [Epoch 043/100] Loss: 0.08030 | Time/Epoch: 11.7s | ETA: 11 mins
